idx	label
995	influenza
998	influenza
1061	influenza
1086	influenza
1110	influenza
1132	influenza
1133	influenza
1150	influenza
1178	influenza
1201	influenza
1212	influenza
1227	influenza
1245	influenza
1248	influenza
1273	influenza
1301	influenza
1306	influenza
1326	influenza
1352	influenza
1353	influenza
1430	influenza
1436	influenza
1438	influenza
1447	influenza
1455	influenza
1473	influenza
1481	influenza
1528	influenza
1529	influenza
1533	influenza
1543	influenza
1544	influenza
1612	influenza
1643	influenza
1702	influenza
1718	influenza
1725	influenza
1735	influenza
1763	influenza
1790	influenza
1866	influenza
1868	influenza
1877	influenza
1891	influenza
1901	influenza
1918	influenza
1920	influenza
1932	influenza
1947	influenza
1982	influenza
1987	influenza
2013	influenza
2020	influenza
2052	influenza
2057	influenza
2088	influenza
2140	influenza
2144	influenza
2168	influenza
2186	influenza
2212	influenza
2218	influenza
2234	influenza
2288	influenza
2293	influenza
2296	influenza
2307	influenza
2319	influenza
2329	influenza
2347	influenza
2353	influenza
2371	influenza
2407	influenza
2408	influenza
2448	influenza
2461	influenza
2484	influenza
2489	influenza
2501	influenza
2540	influenza
2553	influenza
2567	influenza
2571	influenza
2574	influenza
2594	influenza
2603	influenza
2623	influenza
2632	influenza
2665	influenza
2675	influenza
2676	influenza
2678	influenza
2750	influenza
2764	influenza
2845	influenza
2847	influenza
2851	influenza
2865	influenza
2890	influenza
2919	influenza
2922	influenza
2963	influenza
2977	influenza
2991	influenza
3051	influenza
3091	influenza
3095	influenza
3109	influenza
3159	influenza
3205	influenza
3206	influenza
3217	influenza
3240	influenza
3249	influenza
3250	influenza
3261	influenza
3301	influenza
3318	influenza
3384	influenza
3408	influenza
3413	influenza
3424	influenza
3430	influenza
3433	influenza
3442	influenza
3478	influenza
3496	influenza
3527	influenza
3552	influenza
3557	influenza
3597	influenza
3602	influenza
3606	influenza
3631	influenza
3646	influenza
3659	influenza
3662	influenza
3671	influenza
3672	influenza
3711	influenza
3713	influenza
3724	influenza
3745	influenza
3811	influenza
3838	influenza
3850	influenza
3853	influenza
3901	influenza
3940	influenza
3998	influenza
